Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Philippines,PHL,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7611
Philippines,PHL,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7212
Philippines,PHL,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6810
Philippines,PHL,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7000
Philippines,PHL,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6100
Philippines,PHL,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5252
Philippines,PHL,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5245
Philippines,PHL,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5235
Philippines,PHL,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5230
Philippines,PHL,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5226
Philippines,PHL,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4173
Philippines,PHL,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4100
Philippines,PHL,2018,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,381.617088658728
Philippines,PHL,2017,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,655.643966435141
Philippines,PHL,2016,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,748.104670376033
Philippines,PHL,2015,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,893.737141541349
Philippines,PHL,2014,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,646.557286306566
Philippines,PHL,2013,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,647.399506653491
Philippines,PHL,2012,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,228.194691121692
Philippines,PHL,2011,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,377.163631499494
Philippines,PHL,2010,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,7391.17782484575
Philippines,PHL,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1197.14849000807
Philippines,PHL,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,755.740346891058
Philippines,PHL,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,332.58613204941
Philippines,PHL,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,291.785163780291
Philippines,PHL,2005,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,288.096919150689
Philippines,PHL,2004,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,323.47743883823
Philippines,PHL,2003,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,257.573698045167
Philippines,PHL,2002,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,171.270271010742
Philippines,PHL,2001,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,217.434192219934
Philippines,PHL,2000,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,230.662705839499
Philippines,PHL,1999,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,198.441843960278
Philippines,PHL,1998,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,166.581577880096
Philippines,PHL,1997,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,188.134131257614
Philippines,PHL,1996,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,139.278767360225
Philippines,PHL,1995,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,124.733870144055
Philippines,PHL,1994,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,160.512937086314
Philippines,PHL,1993,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,165.106569343066
Philippines,PHL,1992,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,155.268817204301
Philippines,PHL,1991,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,130.673475342865
Philippines,PHL,1990,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,170.319698288367
Philippines,PHL,1989,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,167.850707688824
Philippines,PHL,1988,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,154.604434501463
Philippines,PHL,1987,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,152.8446458353
Philippines,PHL,1986,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,103.670212765957
Philippines,PHL,1985,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,142.917527331352
Philippines,PHL,1984,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,886.056484304332
Philippines,PHL,1983,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,760.873751857822
Philippines,PHL,1982,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,950.233709100907
Philippines,PHL,1981,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,403.470302341728
Philippines,PHL,1980,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,470.422535211268
Philippines,PHL,1979,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,460.699865410498
Philippines,PHL,1978,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,380.868141668601
Philippines,PHL,1977,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,388.012745112636
Philippines,PHL,1976,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,338.413098236776
Philippines,PHL,1975,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,243.193997856377
Philippines,PHL,1974,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,298.445037409093
Philippines,PHL,1973,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,273.463926467322
Philippines,PHL,1972,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,198.765432098765
Philippines,PHL,1971,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,208.27517447657
Philippines,PHL,1970,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,226.739559262808
Philippines,PHL,1969,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,219.731989314183
Philippines,PHL,1968,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,181.87427312236
Philippines,PHL,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,180.808328230251
Philippines,PHL,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,287.837837837838
Philippines,PHL,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,592.670157068063
Philippines,PHL,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,534.545454545455
Philippines,PHL,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,715.384615384615
Philippines,PHL,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,695.127518891688
Philippines,PHL,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,560.618702770781
Philippines,PHL,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,169.001073345259
Philippines,PHL,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,212.598713774597
Philippines,PHL,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,169.625186046512
Philippines,PHL,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,139.423425760286
Philippines,PHL,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,157.343590339893
Philippines,PHL,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,155.875039355993
Philippines,PHL,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,118.351254480287
Philippines,PHL,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,144.86128440367
Philippines,PHL,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,151.435471698113
Philippines,PHL,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,121.445272727273
Philippines,PHL,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,104.973027522936
Philippines,PHL,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,159.308128544423
Philippines,PHL,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,143.579243452958
Philippines,PHL,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,156.532467532468
Philippines,PHL,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,171.7595703125
Philippines,PHL,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,166.996378269618
Philippines,PHL,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,139.340425531915
Philippines,PHL,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,156.784711075441
Philippines,PHL,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,145.917759237187
Philippines,PHL,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,146.266273352999
Philippines,PHL,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,122.38247322298
Philippines,PHL,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,156.064609450338
Philippines,PHL,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,140.744985673352
Philippines,PHL,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,113.227436140019
Philippines,PHL,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,112.501968134958
Philippines,PHL,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,105.012070566388
Philippines,PHL,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,92.9898804047838
Philippines,PHL,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,81.614361217423
Philippines,PHL,1990,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,107.133576642336
Philippines,PHL,1989,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,97.7613553113553
Philippines,PHL,1988,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,92.7356617647059
Philippines,PHL,1987,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,89.6171586715867
Philippines,PHL,1986,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,72.1851851851852
Philippines,PHL,1985,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,53.023738317757
Philippines,PHL,1984,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,50.0907196969697
Philippines,PHL,1983,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,69.1020912547528
Philippines,PHL,1982,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,65.9541984732824
Philippines,PHL,1981,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,61.2277777777778
Philippines,PHL,1980,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,63.8867635807192
Philippines,PHL,1979,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,65.8269230769231
Philippines,PHL,1978,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,60.5343689320388
Philippines,PHL,1977,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,51.0982352941177
Philippines,PHL,1976,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,53.74
Philippines,PHL,1975,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,46.7835051546392
Philippines,PHL,1974,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,59.4185416666667
Philippines,PHL,1973,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,54.4296842105263
Philippines,PHL,1972,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,41.1063829787234
Philippines,PHL,1971,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,44.9827734711456
Philippines,PHL,1970,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.0732334047109
Philippines,PHL,1969,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.2259574468085
Philippines,PHL,1968,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.4088794926004
Philippines,PHL,1967,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.8117647058824
Philippines,PHL,1966,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22.1875
Philippines,PHL,1965,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.4854771784232
Philippines,PHL,1964,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.2231404958678
Philippines,PHL,1963,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.1358024691358
Philippines,PHL,1962,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,18.096106557377
Philippines,PHL,1961,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.5319322587227
Philippines,PHL,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,124400
Philippines,PHL,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,124300
Philippines,PHL,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,122600
Philippines,PHL,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,121000
Philippines,PHL,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,121000
Philippines,PHL,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,120100
Philippines,PHL,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,117900
Philippines,PHL,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,115800
Philippines,PHL,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,113550
Philippines,PHL,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,114700
Philippines,PHL,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,112400
Philippines,PHL,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,111350
Philippines,PHL,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,111840
Philippines,PHL,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,112340
Philippines,PHL,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,112350
Philippines,PHL,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,112850
Philippines,PHL,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,113350
Philippines,PHL,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,111050
Philippines,PHL,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,110150
Philippines,PHL,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,110150
Philippines,PHL,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,110650
Philippines,PHL,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,111150
Philippines,PHL,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,111570
Philippines,PHL,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,111400
Philippines,PHL,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,111000
Philippines,PHL,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,110600
Philippines,PHL,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,110200
Philippines,PHL,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,109800
Philippines,PHL,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,109100
Philippines,PHL,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,108200
Philippines,PHL,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,107800
Philippines,PHL,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,107400
Philippines,PHL,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,106700
Philippines,PHL,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,106250
Philippines,PHL,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,103940
Philippines,PHL,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,101400
Philippines,PHL,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,100900
Philippines,PHL,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,96740
Philippines,PHL,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,91920
Philippines,PHL,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,88620
Philippines,PHL,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,85960
Philippines,PHL,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,84300
Philippines,PHL,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,82790
Philippines,PHL,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,83100
Philippines,PHL,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,82530
Philippines,PHL,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,82810
Philippines,PHL,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,83050
Philippines,PHL,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,81300
Philippines,PHL,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,81320
Philippines,PHL,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,81520
Philippines,PHL,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,78720
Philippines,PHL,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,77920
Philippines,PHL,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,77130
Philippines,PHL,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.7211657779119
Philippines,PHL,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.6876278632995
Philippines,PHL,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,41.1174833148875
Philippines,PHL,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.580876681088
Philippines,PHL,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.580876681088
Philippines,PHL,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,40.2790354495757
Philippines,PHL,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,39.5412013281014
Philippines,PHL,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.8369051212396
Philippines,PHL,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.082302042459
Philippines,PHL,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.4679880605024
Philippines,PHL,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6966160244156
Philippines,PHL,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3444679209847
Philippines,PHL,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.5088037025858
Philippines,PHL,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6764932756481
Philippines,PHL,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.6798470671094
Philippines,PHL,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.8475366401717
Philippines,PHL,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,38.0152262132341
Philippines,PHL,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2438541771473
Philippines,PHL,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.942012945635
Philippines,PHL,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.942012945635
Philippines,PHL,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.1097025186974
Philippines,PHL,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.2773920917597
Philippines,PHL,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.4182513331321
Philippines,PHL,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.3612368782909
Philippines,PHL,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.227085219841
Philippines,PHL,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,37.0929335613911
Philippines,PHL,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.9587819029413
Philippines,PHL,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.8246302444914
Philippines,PHL,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.5898648422041
Philippines,PHL,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.2880236106919
Philippines,PHL,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.153871952242
Philippines,PHL,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,36.0197202937921
Philippines,PHL,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.7849548915048
Philippines,PHL,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,35.6340342757487
Philippines,PHL,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.8593084482007
Philippines,PHL,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,34.007445417044
Philippines,PHL,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.8397558439816
Philippines,PHL,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.4445785961029
Philippines,PHL,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.8280511117819
Philippines,PHL,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.7193064824441
Philippines,PHL,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.8233913422526
Philippines,PHL,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2639307986321
Philippines,PHL,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7576611010528
Philippines,PHL,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.861597264132
Philippines,PHL,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6704888352444
Philippines,PHL,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7643666599611
Philippines,PHL,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8448333668611
Philippines,PHL,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2580969623818
Philippines,PHL,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2648025212902
Philippines,PHL,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3318581103735
Philippines,PHL,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3930798632066
Philippines,PHL,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1248575068732
Philippines,PHL,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.859987929994
Philippines,PHL,2018,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2017,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2016,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2015,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2014,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2013,Arable land (hectares),AG.LND.ARBL.HA,5590000
Philippines,PHL,2012,Arable land (hectares),AG.LND.ARBL.HA,5580000
Philippines,PHL,2011,Arable land (hectares),AG.LND.ARBL.HA,5450000
Philippines,PHL,2010,Arable land (hectares),AG.LND.ARBL.HA,5300000
Philippines,PHL,2009,Arable land (hectares),AG.LND.ARBL.HA,5500000
Philippines,PHL,2008,Arable land (hectares),AG.LND.ARBL.HA,5450000
Philippines,PHL,2007,Arable land (hectares),AG.LND.ARBL.HA,5290000
